last_login_days,usage_score,tickets_last_30d,avg_ticket_sentiment,email_open_rate,feature_drop_count,payment_delay_days,churned
81,0.1424478871382786,4,0.9085893593040579,0.1091254743237784,2,21,1
360,0.729292031545727,3,0.8864307352523804,0.7109530589641984,2,25,0
3,0.9899983185318838,0,0.9749556317464665,0.3275408923906542,0,26,0
54,0.6478479814448944,1,-0.7369709125317923,0.08797022738959759,1,25,1
136,0.09219502104322985,5,-0.027858216969975036,0.6019400685476258,1,14,0
1,0.8904746597482884,6,-0.04584013530211917,0.6605287814072388,1,23,0
138,0.8287962618756434,1,-0.1788620917039898,0.7290302531826619,1,19,0
334,0.11032173482545649,4,0.1771792221308286,0.9263114823016554,0,10,1
210,0.7354389879158804,5,-0.0670460758246958,0.1106751489189709,3,5,1
2,0.23502297346049017,3,0.23705717762577416,0.37484537906733684,1,26,0
18,0.08809314357076314,4,0.7847113154780598,0.5301589351407543,4,29,0
131,0.4946014584742957,5,0.9148984721333895,0.38951187423248024,3,26,1
251,0.2535838032658225,4,0.4542381078333564,0.15986251416880304,4,24,1
41,0.3432939531927889,4,0.494301336509692,0.7488041959268013,2,15,0
267,0.19961227132720039,4,0.9094447699810639,0.522419492104658,0,19,1
198,0.5537580511991557,4,0.7229462017968364,0.550273557152181,4,21,0
344,0.7010413390234161,4,0.3716507406994545,0.6289007508156211,3,5,1
75,0.7437838826985886,4,-0.531109778986222,0.39636349043552366,3,21,1
364,0.4332484465249612,2,-0.9356342243283469,0.7034515361309497,2,20,1
228,0.9402592208887602,5,0.6525302769788461,0.3729277639594165,1,22,0
77,0.6798237153934348,2,0.6672784831897369,0.930639882430297,3,12,1
93,0.4202395494025677,8,-0.8788854667174584,0.6875756345611611,1,28,0
292,0.11674250966418076,2,0.6149007781516711,0.9980952370016707,1,6,1
265,0.3507548499412648,3,0.0034241220742707856,0.17257079689088206,3,12,0
0,0.9555232840951134,2,-0.4313633139038031,0.36664850332991394,3,8,0
209,0.6879942918456656,4,-0.4429061834886776,0.6462622192881204,2,3,0
353,0.487853772748138,1,-0.5549580056124801,0.8565675198917104,1,15,1
134,0.615071425225823,2,-0.9123376613891834,0.680231209543161,0,3,1
50,0.18621529001027437,2,0.41781067416867423,0.3658182659779815,2,15,0
190,0.2411371866696277,5,0.21763600068770694,0.41913145510345573,0,1,1
71,0.2654895417487195,2,0.2636041993013982,0.9034038876852225,0,6,1
109,0.5394883818537008,6,-0.6785616380428814,0.9874561084663959,2,22,0
39,0.3583588466208065,2,0.21343785649558544,0.12500890572289314,2,20,0
35,0.35192899610555417,3,0.7881263609179903,0.5868038778196796,1,7,0
193,0.5451891513819883,3,-0.9625049779266242,0.14240406682147733,2,24,0
204,0.30253717425124804,4,0.22697141388142583,0.293203838431526,3,0,0
280,0.12094719542042764,0,-0.5649092507031093,0.13031281838830067,1,15,1
30,0.2497360760709303,1,-0.18216499129192765,0.48225913045943636,5,8,0
95,0.8878956725278259,2,0.32812211336452823,0.984298447514259,1,26,0
34,0.6638956860125945,0,-0.06488742030180572,0.8096367310408465,1,12,0
277,0.39361058362686285,3,-0.688819906142188,0.1053292696536029,1,28,0
62,0.8470376378211102,6,-0.21028327302543293,0.8914327167319198,3,16,0
42,0.549316918466777,5,0.6702354864399058,0.29726535007024824,2,15,0
145,0.3783513727315968,3,0.29303058602051424,0.3804769699206656,4,5,1
205,0.23933562097102257,0,0.7643151900175265,0.9484295476352677,0,13,0
